apartment_name,region_name,legal_dong,jibun,road_name,deal_type,deal_year,deal_month,deal_day,deal_amount,area,floor,longitude,latitude,coordinate_source,coordinates_wkt
대곡역화성파크드림위드,달서구,,,,전세,,,,,,,128.514628,35.80970855,apt_master_info,POINT(128.514628 35.80970855)
한강밤섬자이,마포구,,,,매매,,,,,,,126.9285189,37.54473684,apt_master_info,POINT(126.9285189 37.54473684)
개금롯데캐슬,부산진구,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
까치마을태화,계양구,,,,매매,,,,,,,126.8433094,37.50665863,apt_master_info,POINT(126.8433094 37.50665863)
관악위버폴리스,관악구,,,,월세,,,,,,,126.9532187,37.48269974,apt_master_info,POINT(126.9532187 37.48269974)
상계주공12(고층),노원구,,,,매매,,,,,,,127.0594158,37.66628031,apt_master_info,POINT(127.0594158 37.66628031)
드림파크어울림1단지,서구,,,,월세,,,,,,,126.6386654,37.59496319,apt_master_info,POINT(126.6386654 37.59496319)
만수주공4단지,남동구,,,,매매,,,,,,,126.7384398,37.45823746,apt_master_info,POINT(126.7384398 37.45823746)
온세계아이조움,광산구,,,,매매,,,,,,,126.7939882,35.15735818,apt_master_info,POINT(126.7939882 35.15735818)
영종국제도시한신더휴스카이파크,중구,,,,매매,,,,,,,126.5633496,37.50096772,apt_master_info,POINT(126.5633496 37.50096772)
월곡두산위브,성북구,,,,매매,,,,,,,127.0386374,37.60661241,apt_master_info,POINT(127.0386374 37.60661241)
방배1차현대홈타운,서초구,,,,매매,,,,,,,126.9839124,37.48843581,apt_master_info,POINT(126.9839124 37.48843581)
랜드마크시티센트럴더샵,연수구,,,,매매,,,,,,,127.0925332,37.55485626,apt_master_info,POINT(127.0925332 37.55485626)
부영사랑으로,광산구,,,,매매,,,,,,,126.7967735,35.17919295,apt_master_info,POINT(126.7967735 35.17919295)
동조리젠시타워,사하구,,,,매매,,,,,,,128.9943698,35.09768739,apt_master_info,POINT(128.9943698 35.09768739)
명장일양타운,동래구,,,,매매,,,,,,,129.1061359,35.20806612,apt_master_info,POINT(129.1061359 35.20806612)
신답극동,동대문구,,,,매매,,,,,,,127.0441066,37.57267229,apt_master_info,POINT(127.0441066 37.57267229)
인천유림노르웨이숲에듀오션,중구,,,,매매,,,,,,,126.62684,37.45168748,apt_master_info,POINT(126.62684 37.45168748)
대실역이편한세상,달성군,,,,매매,,,,,,,128.4629309,35.85453411,apt_master_info,POINT(128.4629309 35.85453411)
수성롯데캐슬THEFIRST,수성구,,,,매매,,,,,,,128.6096954,35.85553487,apt_master_info,POINT(128.6096954 35.85553487)
"탑스빌(영남,신대진,성웅)아파트",서구,,,,매매,,,,,,,127.0201146,37.57500192,apt_master_info,POINT(127.0201146 37.57500192)
논현단풍마을트리플에듀,남동구,,,,매매,,,,,,,127.1990852,37.2363692,apt_master_info,POINT(127.1990852 37.2363692)
모아아파트,은평구,,,,매매,,,,,,,126.9198277,37.5965395,apt_master_info,POINT(126.9198277 37.5965395)
염광,노원구,,,,매매,,,,,,,127.072868,37.65624341,apt_master_info,POINT(127.072868 37.65624341)
서창베라체아파트(11단지),남동구,,,,매매,,,,,,,126.7505014,37.42059268,apt_master_info,POINT(126.7505014 37.42059268)
화랑해링턴플레이스아파트,노원구,,,,매매,,,,,,,127.0811491,37.62388014,apt_master_info,POINT(127.0811491 37.62388014)
현대리버빌1지구,송파구,,,,매매,,,,,,,127.1152628,37.53077277,apt_master_info,POINT(127.1152628 37.53077277)
명륜2차아이파크2단지,동래구,,,,매매,,,,,,,126.930072,37.57591318,apt_master_info,POINT(126.930072 37.57591318)
부곡롯데캐슬디아망,금정구,,,,매매,,,,,,,127.0214563,37.57104431,apt_master_info,POINT(127.0214563 37.57104431)
청라 엑슬루타워,서구,,,,매매,,,,,,,129.1064796,35.13993054,apt_master_info,POINT(129.1064796 35.13993054)
한신,서초구,,,,매매,,,,,,,127.0109975,37.5159285,apt_master_info,POINT(127.0109975 37.5159285)
양우내안애레이크힐,유성구,,,,매매,,,,,,,127.3486156,36.34461787,apt_master_info,POINT(127.3486156 36.34461787)
범어월드메르디앙웨스턴카운티,수성구,,,,매매,,,,,,,128.6202718,35.864097,apt_master_info,POINT(128.6202718 35.864097)
월배삼정그린코아포레스트,달서구,,,,전세,,,,,,,128.5152701,35.82065584,apt_master_info,POINT(128.5152701 35.82065584)
동서2차,동구,,,,매매,,,,,,,128.6350725,35.88778775,apt_master_info,POINT(128.6350725 35.88778775)
용봉엘리체,북구,,,,매매,,,,,,,126.8952464,35.18548055,apt_master_info,POINT(126.8952464 35.18548055)
대림,해운대구,,,,매매,,,,,,,129.1728676,35.17838623,apt_master_info,POINT(129.1728676 35.17838623)
목동삼성,양천구,,,,매매,,,,,,,126.8765258,37.51697564,apt_master_info,POINT(126.8765258 37.51697564)
그린빌3차,북구,,,,매매,,,,,,,128.5646528,35.94042863,apt_master_info,POINT(128.5646528 35.94042863)
진천역AK그랑폴리스,달서구,,,,매매,,,,,,,128.5183712,35.81492714,apt_master_info,POINT(128.5183712 35.81492714)
